Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",December,2024-03-31,35101114000,282500000,119.35,8.64,17.94,None,None,0.72,6.23,0.117,-0.0652,0.0119,0.0411,2527000000,1768391000,0.72,-0.921,0.123,104.17,5,7,3,0,0,119.35,227.27,15.03,5.03,13.36,84.12,0.841,100.38,67.35,90.94,84.12,408485000,None,None
COST,Common Stock,Costco Wholesale Corp,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",August,2024-02-29,359118471000,11072000000,52.92,5.15,46.8,4.08,0.0057,15.3,560.61,0.0273,0.0353,0.0835,0.312,248828002000,30095000000,15.3,0.188,0.057,787.75,8,17,12,0,0,52.92,46.08,1.304,15.62,1.3,28.32,0.759,816.87,487.12,742.54,652.9,443504000,2024-05-10,2024-04-25
CRWD,Common Stock,Crowdstrike Holdings Inc,"CrowdStrike Holdings, Inc. provides cloud solutions for endpoint and cloud workload protection in the United States, Australia, Germany, India, Israel, Romania, and the United Kingdom. The company is headquartered in Sunnyvale, California.",1535527,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"150 MATHILDA PLACE, SUITE 300, SUNNYVALE, CA, US",January,2024-01-31,85469774000,105959000,901.21,1.339,9.53,None,None,0.39,12.8,0.0292,0.0351,-0.0002,0.0474,3055555000,1640005000,0.39,0,0.326,399.03,16,31,3,0,0,901.21,78.12,24.46,32.45,23.59,245.28,1.075,365,139.37,316.94,250.94,230670000,None,None
CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",December,2024-03-31,66037535000,7134000000,18.46,2.034,6.44,0.45,0.0142,1.83,7.38,0.247,0.371,0.0818,0.29,14631999000,7390000000,1.83,-0.05,-0.007,39.63,6,13,8,0,0,18.46,17.04,4.436,5.16,5.64,11.43,1.189,39.99,28.84,35.02,33.58,1954930000,2024-06-14,2024-05-31
DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",December,2024-03-31,41344078000,52546000,353.14,1.186,6.59,None,None,0.35,6.9,0.0511,0.0196,0.0023,0.0621,2257898000,1328623000,0.35,0,0.269,146.99,8,22,12,0,0,353.14,83.33,19.88,20.89,19.09,366.09,1.136,138.61,77.81,123.15,112.22,308456000,None,None
DXCM,Common Stock,DexCom Inc,"DexCom, Inc. is a company that develops, manufactures, and distributes continuous glucose monitoring (CGM) systems for diabetes management. It operates internationally with headquarters in San Diego, California, and has a manufacturing facility in Mesa, Arizona.",1093557,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"6340 SEQUENCE DRIVE, SAN DIEGO, CA, US",December,2024-03-31,50653012000,848500000,82.71,2.532,5.67,None,None,1.54,9.83,0.168,0.11,0.0679,0.285,3801800000,1883100000,1.54,1.987,0.242,153.37,13,8,3,0,0,82.71,77.52,14.49,25.38,14.46,57.12,1.224,142,74.75,132.79,115.18,397684000,None,None
FANG,Common Stock,Diamondback Energy Inc,"Diamondback Energy is a company engaged in hydrocarbon exploration and headquartered in Midland, Texas.",1539838,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,CRUDE PETROLEUM & NATURAL GAS,"500 WEST TEXAS, SUITE 1210, MIDLAND, TX, US",December,2024-03-31,34502431000,6344000000,10.91,1.201,95.04,9.26,0.0479,17.74,46.19,0.387,0.524,0.0989,0.199,8274000000,8173000000,17.74,0.102,0.174,224.32,4,18,4,0,0,10.91,11.52,4.623,2.213,5.16,6.97,1.895,209.88,116.96,199.97,168.85,178344000,2024-05-22,2024-05-14
DLTR,Common Stock,Dollar Tree Inc,"Dollar Tree is an American chain of discount variety stores that sells items for $1 or less, headquartered in Chesapeake, Virginia.",935703,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"500 VOLVO PARKWAY, N/A, CHESAPEAKE, VA, US",January,2024-01-31,25176041000,2636900000,None,2.138,33.56,None,None,-4.55,139.43,-0.0326,0.0876,0.0498,-0.124,30603801000,8935400000,-4.55,-0.193,0.119,149.74,3,13,10,2,0,-,17.92,0.892,3.732,1.209,-904.54,0.923,154.96,102.77,123.66,125.82,218220000,None,None
DASH,Common Stock,DoorDash Inc. Class A Common Stock,"DoorDash, Inc. operates a logistics platform that connects merchants, consumers, and merchants in the United States and internationally. The company is headquartered in San Francisco, California.",1792789,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","303 2ND STREET, SOUTH TOWER, 8TH FLOOR, SAN FRANCISCO, CA, US",December,2024-03-31,46137766000,-218000000,None,None,17.13,None,None,-1.07,23.42,-0.0461,-0.0243,-0.0277,-0.0632,9113000000,3083000000,-1.07,0,0.235,135.28,8,14,16,0,0,-,294.12,6.47,8.21,6.06,-769.85,1.777,143.34,62.83,127.45,103.26,381687000,None,None
EA,Common Stock,Electronic Arts Inc,"Electronic Arts Inc. (EA) is an American video game company headquartered in Redwood City, California. It is the second-largest gaming company in the Americas and Europe by revenue and market capitalization after Activision Blizzard and ahead of Take-Two Interactive, and Ubisoft as of May 2020.",712515,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"209 REDWOOD SHORES PARKWAY, REDWOOD CITY, CA, US",March,2024-03-31,35977146000,1982000000,28.8,1.266,28.24,0.76,0.0056,4.69,28.01,0.168,0.204,0.0767,0.172,7562000000,5754000000,4.69,0.466,-0.051,149.7,9,8,13,0,0,28.8,16.92,4.465,4.539,4.315,16.54,0.777,144.34,117.15,129.56,130.96,266379000,2024-06-19,2024-05-29
EXC,Common Stock,Exelon Corporation,"Exelon Corporation is an American Fortune 100 energy company headquartered in Chicago, Illinois and incorporated in Pennsylvania.",1109357,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"PO BOX 805398, CHICAGO, IL, US",December,2024-03-31,36691100000,6842000000,15.75,2.635,26.06,1.46,0.0414,2.33,22.27,0.104,0.183,0.0251,0.0906,22207001000,8114000000,2.33,-0.018,0.086,39.51,2,3,13,1,0,15.75,14.88,1.679,1.416,3.684,10.08,0.597,41.49,32.66,37.41,37.77,1000030000,2024-06-14,2024-05-10
FAST,Common Stock,Fastenal Company,"Fastenal Company is an American company based in Winona, Minnesota. Fastenal's service model centers on approximately 3,200 in-market locations, each providing custom inventory, and a dedicated sales team to support local businesses. Fastenal offers companies supply chain solutions that help business reduce inventory touches, and supply chain waste.",815556,NASDAQ,USD,USA,TRADE & SERVICES,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY","2001 THEURER BLVD, WINONA, MN, US",December,2024-03-31,37799551000,1701400000,32.68,3.637,5.99,1.44,0.0236,2.02,12.91,0.157,0.206,0.209,0.346,7382700000,3215800000,2.02,0.006,0.019,69.68,2,0,12,2,1,32.68,32.79,5.46,12.04,5.53,23.77,1.059,78.58,51.31,70.82,64.49,572547000,2024-05-23,2024-04-24
FTNT,Common Stock,Fortinet Inc,"Fortinet (Nasdaq: FTNT) is an American multinational corporation headquartered in Sunnyvale, California. It develops and sells cybersecurity solutions, including but not limited to physical products such as firewalls, plus software and services such as anti-virus protection, intrusion prevention systems and endpoint security components.",1262039,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","899 KIFER ROAD, SUNNYVALE, CA, US",December,2024-03-31,46867595000,1398800000,39.84,1.789,-0.18,None,None,1.54,6.98,0.222,0.236,0.111,0.79,5395800000,3332500000,1.54,0.258,0.072,71.1,4,12,25,1,1,39.84,39.06,9.56,699.2,9.29,33.57,1.085,81.24,44.12,64.57,61.28,763938000,None,None
GEHC,Common Stock,GE HealthCare Technologies Inc.,"GE HealthCare Technologies Inc. provides medical technology, pharmaceutical diagnostics, and digital solutions in the United States. The company is headquartered in Chicago, Illinois.",1932393,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,"500 W. MONROE STREET, CHICAGO, IL, UNITED STATES",December,2024-03-31,36448727000,3519000000,23.21,20.11,16.23,0.12,0.0015,3.44,42.8,0.0805,0.139,0.0563,0.224,19495000000,7179000000,3.44,0.976,-0.012,93.71,3,7,6,0,0,23.21,20.12,2.014,5.52,2.39,13.3,None,94.47,62.3,85.09,76.43,456465000,2024-05-15,2024-04-18
GILD,Common Stock,Gilead Sciences Inc,"Gilead Sciences, Inc. is an American biopharmaceutical company headquartered in Foster City, California, that focuses on researching and developing antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza, including Harvoni and Sovaldi.",882095,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","333 LAKESIDE DR, FOSTER CITY, CA, US",December,2024-03-31,81827430000,12665000000,182.44,0.421,14.08,3.02,0.0469,0.36,22,0.0177,0.344,0.105,0.0239,27449999000,21624000000,0.36,-0.131,0.053,81.29,4,9,18,1,0,182.44,9.64,3.13,3.717,3.784,9.78,0.235,86.98,64.33,68.46,75.2,1245850000,2024-06-27,2024-06-14
GFS,Common Stock,Globalfoundries Inc,"GLOBALFOUNDRIES Inc. is a global semiconductor foundry. The company is headquartered in Malta, New York.",1709048,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"400 STONEBREAK ROAD EXTENSION, MALTA, NY, US",December,2024-03-31,28191879000,2488000000,31.52,1.486,20.25,None,None,1.61,12.83,0.127,0.0949,0.0363,0.0831,7100000000,2239000000,1.61,-0.479,-0.159,62.63,4,5,7,0,0,31.52,28.49,3.696,2.462,3.556,9.92,1.611,68.57,45.52,50.66,54.41,555505000,None,None
HON,Common Stock,Honeywell International Inc,"Honeywell International Inc. is an American publicly traded, multinational conglomerate headquartered in Charlotte, North Carolina. It primarily operates in four areas of business: aerospace, building technologies, performance materials and technologies (PMT), and safety and productivity solutions (SPS).",773840,NASDAQ,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"300 SOUTH TRYON STREET, CHARLOTTE, NC, US",December,2024-03-31,130035327000,8921000000,23.14,2.013,25.27,4.22,0.0216,8.63,55.99,0.155,0.223,0.077,0.332,36902998000,11641000000,8.63,0.077,0.027,219.12,6,9,10,1,0,23.14,19.72,3.484,8.06,3.851,15.52,1.017,208.35,172.0,198.35,194.68,651186000,2024-06-07,2024-05-16
IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",December,2024-03-31,42656338000,1232168000,50,4.753,18.93,None,None,10.33,44.83,0.233,0.31,0.226,0.719,3724853000,2004338000,10.33,0.102,0.071,574.49,2,6,5,0,0,50,45.66,11.29,27.85,11.46,34.46,1.272,583.39,372.5,509.75,501.11,82587000,None,None
ILMN,Common Stock,Illumina Inc,"Illumina, Inc. is an American company. Incorporated on April 1, 1998, Illumina develops, manufactures, and markets integrated systems for the analysis of genetic variation and biological function. The company provides a line of products and services that serves the sequencing, genotyping and gene expression, and proteomics markets. Its headquarters are located in San Diego, California.",1110803,NASDAQ,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"5200 ILLUMINA WAY, SAN DIEGO, CA, US",December,2024-03-31,16962264000,345000000,None,4.296,36.06,None,None,-8.15,28.39,-0.287,-0.0548,-0.005,-0.208,4493000000,3145000000,-8.15,-0.965,-0.01,150.96,5,4,12,3,0,-,129.87,4.493,3.523,4.762,-35.27,1.203,213.12,89,122.47,131.26,159300000,None,None
INTC,Common Stock,Intel Corporation,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's largest semiconductor chip manufacturer by revenue, and is the developer of the x86 series of microprocessors, the processors found in most personal computers (PCs).",50863,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2200 MISSION COLLEGE BLVD, RNB-4-151, SANTA CLARA, CA, US",December,2024-03-31,130771042000,10501000000,31.67,0.435,24.89,0.5,0.0163,0.97,13.11,0.0736,-0.0567,0.0024,0.0379,55237001000,26866000000,0.97,-0.717,0.086,38.5,2,6,33,4,1,31.67,26.74,2.802,1.438,3.248,15.67,1.09,50.92,28.6,35.72,39.55,4256870000,2024-06-01,2024-05-06
INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",July,2024-04-30,169682239000,4423000000,56.2,1.819,67.06,3.48,0.0059,10.8,56.42,0.194,0.157,0.0785,0.169,15813000000,11388000000,10.8,-0.185,0.41,711.33,8,14,7,0,0,56.2,32.68,11.28,10.07,11.62,40.11,1.22,676.62,397.68,634.1,588.58,279547000,2024-04-18,2024-04-09
ISRG,Common Stock,Intuitive Surgical Inc,"Intuitive Surgical, Inc. is an American corporation that develops, manufactures, and markets robotic products designed to improve clinical outcomes of patients through minimally invasive surgery, most notably with the da Vinci Surgical System.",1035267,NASDAQ,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","1020 KIFER ROAD, SUNNYVALE, CA, US",December,2024-03-31,143602713000,2267400000,72.95,7.13,39.37,None,None,5.55,20.79,0.272,0.248,0.08,0.158,7318500000,4196000000,5.55,0.51,0.115,424.34,11,9,10,0,0,72.95,61.73,19.15,10.25,18.41,59.92,1.391,408.43,254.85,386.4,339.73,354706000,None,None
KDP,Common Stock,Keurig Dr Pepper Inc,"Keurig Dr Pepper Inc. is a beverage company in the United States and internationally. The company is headquartered in Burlington, Massachusetts.",1418135,NASDAQ,USD,USA,MANUFACTURING,BEVERAGES,"5301 LEGACY DRIVE, PLANO, TX, US",December,2024-03-31,46346936000,4110000000,22.06,6.27,18.19,0.845,0.0252,1.55,10.72,0.145,0.219,0.041,0.0872,14929000000,7332000000,1.55,-0.004,0.034,36.61,4,7,8,1,0,22.06,15.75,2.759,1.592,3.742,13.95,0.615,34.48,27.28,32.05,31.71,1355570000,2024-07-12,2024-06-28
KLAC,Common Stock,KLA-Tencor Corporation,"KLA Corporation is a capital equipment company based in Milpitas, California. It supplies process control and yield management systems for the semiconductor industry and other related nanoelectronics industries. The company's products and services are intended for all phases of wafer, reticle, integrated circuit (IC) and packaging production, from research and development to final volume manufacturing.",319201,NASDAQ,USD,USA,LIFE SCIENCES,OPTICAL INSTRUMENTS & LENSES,"ONE TECHNOLOGY DRIVE, MILPITAS, CA, US",June,2024-03-31,104892637000,3885220000,40.81,2.731,22.97,5.5,0.0074,19.09,70.6,0.272,0.342,0.152,0.903,9598649000,5619442000,19.09,-0.119,-0.03,760.79,6,8,10,1,0,40.81,25.71,9.52,30.25,9.8,24.77,1.33,790.51,432.97,701.5,586.62,134640000,2024-05-31,2024-05-14
KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",December,2024-03-31,43532653000,6450000000,15.65,1.016,40.79,1.6,0.0446,2.29,21.7,0.106,0.208,0.0378,0.0568,26562001000,8235000000,2.29,-0.03,-0.012,39.48,4,6,11,0,1,15.65,11.79,1.64,0.882,2.34,11.32,0.648,38.96,29.99,36.59,35.2,1214300000,2024-06-28,2024-06-06
LRCX,Common Stock,Lam Research Corp,"Lam Research Corporation is an American corporation that engages in the design, manufacture, marketing, and service of semiconductor processing equipment used in the fabrication of integrated circuits. Its products are used primarily in front-end wafer processing, which involves the steps that create the active components of semiconductor devices (transistors, capacitors) and their wiring (interconnects). The company also builds equipment for back-end wafer-level packaging (WLP), and for related manufacturing markets such as for microelectromechanical systems (MEMS). The company is headquartered in Fremont, California, in the Silicon Valley.",707549,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","4650 CUSHING BLVD, FREMONT, CA, US",June,2024-03-31,126893294000,4423146000,35.59,2.721,61.36,7.72,0.0082,27.27,107.67,0.254,0.287,0.135,0.44,14241136000,7871807000,27.27,0.221,-0.02,986.49,6,11,13,0,0,35.59,26.25,8.76,15.26,8.72,27.97,1.511,1005.23,571.63,935.38,786.99,130741000,2024-07-10,2024-06-18
LIN,Common Stock,Linde plc Ordinary Shares,"Linde plc is a multinational chemical company. It is the largest industrial gas company by market share and revenue. It serves customers in the healthcare, petroleum refining, manufacturing, food, beverage carbonation, fiber-optics, steel making, aerospace, chemicals, electronics and water treatment industries. The company's primary business is the manufacturing and distribution of atmospheric gases, including oxygen, nitrogen, argon, rare gases, and process gases, including carbon dioxide, helium, hydrogen, electronic gases, specialty gases, and acetylene.",1707925,NASDAQ,USD,USA,LIFE SCIENCES,INDUSTRIAL INORGANIC CHEMICALS,"THE PRIESTLEY CENTRE, 10 PRIESTLEY RD, GUILDFORD, GB",December,2024-03-31,209385472000,12202000000,33.79,2.648,80.78,5.21,0.0128,12.89,67.45,0.193,0.26,0.0652,0.158,32761000000,13914000000,12.89,0.095,-0.011,471.01,5,14,9,1,0,33.79,28.9,6.56,5.42,7.03,18.92,0.949,477.71,346.09,447.02,413.33,480716000,2024-06-18,2024-06-04
LULU,Common Stock,Lululemon Athletica Inc.,"lululemon athletica inc. The company is headquartered in Vancouver, Canada.",1397187,NASDAQ,USD,USA,MANUFACTURING,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,"1818 CORNWALL AVENUE, VANCOUVER, BC, CA",January,2024-01-31,38181057000,2586561000,24.82,1.265,33.53,None,None,12.21,75.91,0.161,0.285,0.217,0.42,9619278000,4492340000,12.21,4.639,0.156,445.44,10,15,7,2,1,24.82,23.75,4.403,10.01,4.316,16.05,1.304,516.39,295.28,364.96,416.0,120892000,None,None
MAR,Common Stock,Marriott International Inc,"Marriott International, Inc. is an American multinational company that operates, franchises, and licenses lodging including hotel, residential, and timeshare properties. It is headquartered in Bethesda, Maryland.",1048286,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"10400 FERNWOOD ROAD, BETHESDA, MD, US",December,2024-03-31,67575312000,4205000000,24.44,2.533,-5.63,2.08,0.0107,9.68,21.49,0.453,0.573,0.0952,0.145,6376000000,4282000000,9.68,-0.206,0.052,245.74,2,4,18,1,0,24.44,26.74,11.49,47.45,3.576,20.09,1.619,259.87,163.51,243.76,222.36,285622000,2024-06-28,2024-05-23
MRVL,Common Stock,Marvell Technology Group Ltd,"Marvell Technology, Inc. designs, develops, and sells analog, mixed-signal, digital signal processing, and integrated and independent integrated circuits. The company is headquartered in Wilmington, Delaware.",1835632,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1000 N. WEST STREET, SUITE 1200, WILMINGTON, DE, US",January,2024-01-31,66364625000,961100000,None,1.721,17.14,0.24,0.0031,-1.08,6.39,-0.17,-0.0053,-0.0125,-0.0613,5507700000,3026200000,-1.08,-0.702,0.006,87.72,9,21,3,0,0,-,46.73,11.03,4.097,11.66,75.48,1.471,85.69,45.98,69.15,61.91,865475000,2024-05-01,2024-04-11
MELI,Common Stock,MercadoLibre Inc.,"MercadoLibre, Inc. operates online trading platforms in Latin America. The company is headquartered in Buenos Aires, Argentina.",1099590,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","ARIAS 3751, 7TH FLOOR, BUENOS AIRES, AR",December,2024-03-31,85859590000,2836000000,76.32,1.42,66.87,None,None,22.19,310.07,0.0723,0.122,0.0858,0.416,15620000000,5953000000,22.19,0.711,0.36,1985.08,5,11,3,0,0,76.32,45.05,5.06,23.84,5.17,30.47,1.45,1825,1063.02,1546.03,1493.21,50697000,2018-01-16,2017-12-28
META,Common Stock,Meta Platforms Inc.,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, PCs, virtual reality headsets, wearables and home devices around the world. The company is headquartered in Menlo Park, California.",1326801,NASDAQ,USD,USA,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","1601 WILLOW ROAD, MENLO PARK, CA, US",December,2024-03-31,1213019324000,68446999000,27.55,1.157,58.94,0.5,0.0042,17.36,55.67,0.321,0.386,0.173,0.334,142711996000,92855000000,17.36,1.141,0.273,512.99,21,33,7,1,0,27.55,25.32,9.67,8.51,9.46,21.61,1.208,531.49,258.18,484.04,388.37,2191450000,2024-03-26,2024-02-21
MCHP,Common Stock,Microchip Technology Inc,"Microchip Technology Inc. is a publicly-listed American corporation that manufactures microcontroller, mixed-signal, analog and Flash-IP integrated circuits.",827054,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2355 W CHANDLER BLVD, CHANDLER, AZ, US",March,2024-03-31,52738314000,3438200000,28.23,8.47,12.41,1.682,0.0184,3.48,14.09,0.25,0.178,0.0992,0.29,7634400000,4449600000,3.48,-0.738,-0.406,100.72,7,10,9,0,0,28.23,27.03,5.42,6.54,6.06,12.75,1.596,100.56,67.71,90.17,84.37,536886000,2024-06-05,2024-05-21
MU,Common Stock,Micron Technology Inc,"Micron Technology, Inc. is an American producer of computer memory and computer data storage including dynamic random-access memory, flash memory, and USB flash drives. It is headquartered in Boise, Idaho.",723125,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"8000 S FEDERAL WAY, PO BOX 6, BOISE, ID, US",August,2024-02-29,143393341000,3663000000,None,1.115,39.63,0.46,0.0036,-3.44,16.67,-0.206,0.0328,-0.0377,-0.0827,18311999000,-1416000000,-3.44,-0.432,0.577,143.58,9,23,3,1,0,-,333.33,7.41,3.092,7.7,34.72,1.276,131.95,60.15,117.56,87.22,1107370000,2024-04-16,2024-03-28
